OldSampleID,FishCode,ID,FishID,SampleID,Date,Lat,Long,Section,Edge,VR,DrillSize,FL_cm,CalcTL,Sex,Lifestage,FinalAge,FinalMat,Weight,d15N,relN,Area.All,d13C,relC,Area.All2,Area.All3,d34S_uncorr,d34S,relS,ug.N,ug.C,ug.S,CNratio
PM10011524-S0,PM10011524,01,01F,01F-0,08/02/2010,14.43333333,-26.475,0,N,0,3,246,307.5,F,Pre-birth,18,6,0.0516,10.714,0,8.557,-13.224,0,15.11,0.688,14.215,16.1540385,0,7.668500804,23.80900277,0.331980725,3.622242549
PM10021294-S0,PM10021294,02,02F,02F-0,08/12/2010,17.31666667,-21.85,0,N,0,3,249,311.25,F,Pre-birth,17,6,0.0548,12.625,0,9.48,-13.117,0,16.326,0.787,14.154,16.0806006,0,8.449843393,25.4932133,0.363365458,3.519838273
PM10021294-S1,PM10021294,02,02F,02F-1,08/12/2010,17.31666667,-21.85,1,N,2.5,1,249,311.25,F,Pre-birth,17,6,0.0459,12.348,-0.277,8.778,-12.574,0.543,16.081,0.837,12.101,13.6577011,-2.4228995,7.454487384,23.57469152,0.37464986,3.689563796
PM11030018-S0,PM11030018,03,03M,03M-0,07/10/2011,1.74166667,-23.80833333,0,N,0,3,253,316.25,M,Pre-birth,25,3,0.0448,11.933,0,7.903,-12.403,0,14.243,0.658,13.09,14.835699,0,6.755828809,21.16198477,0.322420635,3.654471262
PM11030018-S1,PM11030018,03,03M,03M-1,07/10/2011,1.74166667,-23.80833333,1,N,2.5,1,253,316.25,M,Pre-birth,25,3,0.0476,12.056,0.123,9.664,-12.674,-0.271,16.643,0.804,12.505,14.1389055,-0.6967935,8.161929096,24.31241796,0.365021008,3.475218577
PM11030030-S0,PM11030030,04,04M,04M-0,07/10/2011,1.74166667,-23.80833333,0,N,0,3,240,300,M,Pre-birth,22,3,0.0488,12.35,0,8.293,-12.84,0,14.481,0.687,14.166,16.0950474,0,7.4450182,22.93781163,0.331663708,3.594454643
PM11032886-S0,PM11032886,05,05F,05F-0,12/11/2011,12.875,-33.925,0,N,0,3,237,296.25,F,Pre-birth,22,4,0.049,10.325,0,8.831,-13.073,0,15.711,0.637,13.99,15.907689,0,7.496806132,23.08899974,0.316293184,3.593152322
PM14021253-S0,PM14021253,06,06M,06M-0,13/09/2014,5.51666667,-25.99166667,0,N,0,3,228,285,M,Pre-birth,21,3,0.0463,12.855,0,7.321,-13.378,0,13.61,0.598,13.462,15.2472532,0,6.562986381,20.08480467,0.29231126,3.570367323
PM14021253-S1,PM14021253,06,06M,06M-1,13/09/2014,5.51666667,-25.99166667,1,N,2.5,1,228,285,M,Pre-birth,21,3,0.0538,12.524,-0.331,10.713,-13.868,-0.49,19.3,1.163,12.783,14.4700313,-0.7772219,8.99952092,27.80021003,0.469771242,3.603922771
AL09022380-S0,AL09022380,07,07F,07F-0,03/01/2010,-24.14166667,-24.10833333,0,N,0,3,235,293.75,F,Pre-birth,16,6,0.0441,11.809,0,7.959,-13.496,0,14.28,0.691,14.171,16.0970606,0,7.080171855,21.01626581,0.323119224,3.463048254
PM10011567-S0,PM10011567,08,08M,08M-0,08/02/2010,14.43333333,-26.475,0,N,0,3,205,256.25,M,Pre-birth,15,3,0.0465,11.413,0,7.986,-12.829,0,14.514,0.697,12.859,14.5605549,0,6.822101565,21.51772119,0.333800187,3.679805675
PM10020161-S0,PM10020161,09,09F,09F-0,11/02/2010,15.58333333,-23.025,0,N,0,3,222,277.5,F,Pre-birth,15,2,0.0556,10.979,0,9.866,-13.995,0,17.83,0.957,14.879,16.9456694,0,8.626053826,25.95161963,0.411236625,3.509935154
PM10020597-S0,PM10020597,10,10M,10M-0,11/02/2010,15.58333333,-23.025,0,N,0,3,220,275,M,Pre-birth,15,3,0.0446,11.521,0,7.227,-13.402,0,14.05,1.243,13.493,15.2844098,0,6.486786641,20.6965105,0.505979395,3.722325128
PM10021121-S0,PM10021121,11,11M,11M-0,11/02/2010,15.58333333,-23.025,0,N,0,3,210,262.5,M,Pre-birth,14,3,0.0562,10.982,0,8.85,-13.452,0,16.661,1.144,13.763,15.6080318,0,7.802448119,24.32642847,0.473183821,3.637426713
PM10021196-S0,PM10021196,12,12F,12F-0,11/02/2010,15.58333333,-23.025,0,N,0,3,185,231.25,F,Pre-birth,13,1,0.0472,11.643,0,7.758,-13.405,0,13.841,0.741,13.739,15.5809821,0,6.992127317,22.05138504,0.348782653,3.679368912
PM10022029-S0,PM10022029,13,13F,13F-0,04/12/2010,19.10833333,-21.66666667,0,N,0,3,210,262.5,F,Pre-birth,14,2,0.0506,10.034,0,8.599,-13.427,0,15.353,0.806,14.028,15.9256608,0,7.598978599,22.50799388,0.361215093,3.45563892
PM11010051-S0,PM11010051,14,14M,14M-0,17/01/2011,5.55833333,-24.11666667,0,N,0,3,210,262.5,M,Pre-birth,14,3,0.0576,11.159,0,9.723,-13.332,0,17.626,0.959,13.614,15.4294404,0,8.510132944,25.66801057,0.411899162,3.518865395
PM11020526-S0,PM11020526,15,15F,15F-0,14/09/2011,1.13333333,-24.61666667,0,N,0,3,230,287.5,F,Pre-birth,16,3,0.047,13.332,0,7.921,-13.887,0,15.249,1.102,13.721,15.5872831,0,6.770201214,22.48254135,0.451972456,3.874276517
PM11021125-S0,PM11021125,16,16M,16M-0,16/09/2011,0.35833333,-24.825,0,N,0,3,223,278.75,M,Pre-birth,17,3,0.045,10.872,0,8.03,-12.97,0,14.478,0.691,13.519,15.3466809,0,6.857234111,21.47046469,0.332049486,3.652912394
PM11022567-S0,PM11022567,17,17M,17M-0,07/10/2011,1.74166667,-23.80833333,0,N,0,3,223,278.75,M,Pre-birth,22,3,0.0582,11.642,0,9.577,-12.945,0,17.146,0.947,14.299,16.2551661,0,8.531956319,26.62894737,0.414088258,3.641263985
