FishCode,Age,DA_mm,Diff
AL09022380,0,1.392,1.413
AL09022380,1,2.805,1.115
AL09022380,2,3.92,1.072
AL09022380,3,4.992,0.849
AL09022380,4,5.841,0.861
AL09022380,5,6.702,0.552
AL09022380,6,7.254,0.57
AL09022380,7,7.824,0.504
AL09022380,8,8.328,0.663
AL09022380,9,8.991,0.467
AL09022380,10,9.458,0.54
AL09022380,11,9.998,0.704
AL09022380,12,10.702,1.041
AL09022380,13,11.743,0.491
AL09022380,14,12.234,0.556
AL09022380,15,12.79,0.542
AL09022380,16,13.332,0.401
AL09022380,VR,13.733,
PM10011524,0,1.378,0.867
PM10011524,1,2.245,0.904
PM10011524,2,3.149,0.5
PM10011524,3,3.649,0.994
PM10011524,4,4.643,0.966
PM10011524,5,5.609,1.04
PM10011524,6,6.649,0.94
PM10011524,7,7.589,0.951
PM10011524,8,8.54,0.333
PM10011524,9,8.873,0.772
PM10011524,10,9.645,1.075
PM10011524,11,10.72,0.455
PM10011524,12,11.175,0.906
PM10011524,13,12.081,0.567
PM10011524,14,12.648,0.585
PM10011524,15,13.233,0.448
PM10011524,16,13.681,0.248
PM10011524,17,13.929,0.307
PM10011524,18,14.236,0.171
PM10011524,VR,14.407,
PM10011567,0,1.818,1.708
PM10011567,1,3.526,0.695
PM10011567,2,4.221,0.731
PM10011567,3,4.952,0.743
PM10011567,4,5.695,0.692
PM10011567,5,6.387,0.87
PM10011567,6,7.257,0.543
PM10011567,7,7.8,0.932
PM10011567,8,8.732,0.495
PM10011567,9,9.227,0.504
PM10011567,10,9.731,0.466
PM10011567,11,10.197,0.459
PM10011567,12,10.656,0.46
PM10011567,13,11.116,0.733
PM10011567,14,11.849,0.477
PM10011567,15,12.326,0.375
PM10011567,VR,12.701,
PM10021294,0,1.679,1.671
PM10021294,1,3.35,0.712
PM10021294,2,4.062,1.106
PM10021294,3,5.168,1.272
PM10021294,4,6.44,1.04
PM10021294,5,7.48,0.708
PM10021294,6,8.188,0.708
PM10021294,7,8.896,0.533
PM10021294,8,9.429,0.481
PM10021294,9,9.91,0.885
PM10021294,10,10.795,0.407
PM10021294,11,11.202,0.52
PM10021294,12,11.722,0.7
PM10021294,13,12.422,0.556
PM10021294,14,12.978,0.701
PM10021294,15,13.679,0.622
PM10021294,16,14.301,0.283
PM10021294,17,14.584,0.067
PM10021294,VR,14.651,
PM10020161,0,1.553,1.032
PM10020161,1,2.585,1.261
PM10020161,2,3.846,0.596
PM10020161,3,4.442,0.813
PM10020161,4,5.255,0.596
PM10020161,5,5.851,0.69
PM10020161,6,6.541,0.683
PM10020161,7,7.224,0.687
PM10020161,8,7.911,1.087
PM10020161,9,8.998,0.669
PM10020161,10,9.667,0.546
PM10020161,11,10.213,0.7
PM10020161,12,10.913,0.691
PM10020161,13,11.604,0.744
PM10020161,14,12.348,0.68
PM10020161,15,13.028,0.188
PM10020161,VR,13.216,
PM10022029,0,2.225,1.403
PM10022029,1,3.628,0.877
PM10022029,2,4.505,0.65
PM10022029,3,5.155,0.866
PM10022029,4,6.021,0.913
PM10022029,5,6.934,0.443
PM10022029,6,7.377,0.462
PM10022029,7,7.839,0.528
PM10022029,8,8.367,0.716
PM10022029,9,9.083,0.687
PM10022029,10,9.77,0.444
PM10022029,11,10.214,0.321
PM10022029,12,10.535,0.424
PM10022029,13,10.959,0.687
PM10022029,14,11.646,0.194
PM10022029,VR,11.84,
PM10021196,0,1.572,0.977
PM10021196,1,2.549,0.692
PM10021196,2,3.241,0.826
PM10021196,3,4.067,0.75
PM10021196,4,4.817,0.96
PM10021196,5,5.777,0.687
PM10021196,6,6.464,0.624
PM10021196,7,7.088,0.864
PM10021196,8,7.952,0.857
PM10021196,9,8.809,0.605
PM10021196,10,9.414,0.904
PM10021196,11,10.318,0.598
PM10021196,12,10.916,0.602
PM10021196,13,11.518,0.493
PM10021196,VR,12.011,
PM10020234,0,1.565,1.186
PM10020234,1,2.751,0.818
PM10020234,2,3.569,1.129
PM10020234,3,4.698,1.225
PM10020234,4,5.923,1.103
PM10020234,5,7.026,0.837
PM10020234,6,7.863,0.492
PM10020234,7,8.355,0.453
PM10020234,8,8.808,0.517
PM10020234,9,9.325,0.574
PM10020234,10,9.899,0.624
PM10020234,VR,10.523,
PM10020301,0,2.116,1.275
PM10020301,1,3.391,1.065
PM10020301,2,4.456,0.84
PM10020301,3,5.296,0.751
PM10020301,4,6.047,0.75
PM10020301,5,6.797,0.664
PM10020301,6,7.461,0.74
PM10020301,7,8.201,0.705
PM10020301,8,8.906,0.984
PM10020301,9,9.89,0.88
PM10020301,10,10.77,0.203
PM10020301,VR,10.973,
PM10021236,0,1.582,0.805
PM10021236,1,2.387,0.748
PM10021236,2,3.135,0.877
PM10021236,3,4.012,0.885
PM10021236,4,4.897,0.874
PM10021236,5,5.771,0.675
PM10021236,6,6.446,0.829
PM10021236,7,7.275,0.823
PM10021236,8,8.098,0.552
PM10021236,9,8.65,0.94
PM10021236,10,9.59,0.425
PM10021236,11,10.015,0.619
PM10021236,12,10.634,0.421
PM10021236,13,11.055,0.304
PM10021236,VR,11.359,
PM10021121,0,1.56,1.545
PM10021121,1,3.105,0.666
PM10021121,2,3.771,0.678
PM10021121,3,4.449,0.706
PM10021121,4,5.155,1.349
PM10021121,5,6.504,1.152
PM10021121,6,7.656,0.547
PM10021121,7,8.203,1.065
PM10021121,8,9.268,0.639
PM10021121,9,9.907,0.348
PM10021121,10,10.255,0.44
PM10021121,11,10.695,0.65
PM10021121,12,11.345,0.466
PM10021121,13,11.811,0.396
